y,x1,x2
1.300215177,-0.054424877,0.738896549
-0.805025422,0.130173779,0.977855309
2.801925943,1.749006587,1.3525616
3.123489799,-0.97945813,1.664483765
3.4457284,0.300520771,2.988848351
-1.286533674,-0.62397907,0.420441078
1.19766966,-0.259126713,3.257967657
2.145770184,-1.15504827,3.304820727
0.900840934,0.859962317,1.112170548
0.303703052,-0.567783387,0.512890343
0.826446257,-0.182043236,0.958210157
4.445950337,0.686177129,3.534415543
5.843247925,-2.388539696,3.189419528
-2.757940547,0.109619178,0.048847354
2.468029674,0.18002745,2.175808579
-0.089326563,0.109045967,0.698502299
0.303028062,1.701399047,0.430598579
2.123276461,-0.20261806,2.445279785
-2.159643266,-0.511523242,0.488561237
0.433162667,-0.542208758,1.321596619
-0.815363164,-0.096062564,0.462961846
1.924330379,0.044527199,5.34727953
-0.161465536,0.50232199,0.473526051
5.398159259,1.283086048,5.854481427
0.290364738,-1.902311792,1.382813941
-1.104940592,-1.57887725,0.510462546
-0.933218288,-0.281959844,0.598531136
-0.114896414,0.392805909,1.067222515
2.953184835,1.617542055,0.943910268
-0.526769135,-0.556062568,1.200329185
5.024603621,0.86903763,4.083366522
-1.374803162,0.067798181,0.247535041
-1.153834135,-0.465365636,0.994906407
2.048209406,0.854494747,2.406589083
-1.225330817,1.1696928,0.360888244
-0.280134501,0.154456397,0.569796013
1.765328406,-0.518817241,1.64311433
-0.320925363,-0.207871853,0.6915739
-0.270561654,0.089760187,2.509098976
-0.476312847,-0.261396919,1.08009634
2.493546968,2.390472525,1.044429509
-1.276313015,0.699869807,0.131509838
-0.243739604,-0.098244525,1.292784123
1.812443673,1.499538372,1.887880147
3.525116634,-1.704221453,3.914929552
2.062670728,-1.677978528,1.01764455
2.447638575,-0.166938994,1.563210915
2.798191842,0.129255914,3.157593267
0.86283604,-0.140086579,2.692011239
-3.575362623,0.022517904,0.156219226
0.762467833,-0.318265553,1.621846063
-0.465709577,1.219323824,0.261691823
-1.472011989,-0.295711638,0.974682335
0.556717627,1.07306187,0.579220787
2.251236392,0.893299218,2.648992332
5.747023899,-1.076171507,4.165680925
1.413997651,0.441565286,2.395051499
5.809514749,-2.119813747,3.237911986
1.41854837,0.266361721,1.721755702
1.575115122,0.592438595,1.245030439
1.329212786,0.21701003,0.998578559
1.092084362,-0.060711829,2.542255962
2.466777774,1.325803914,1.305403679
0.721342227,1.324911323,0.809454003
-0.240029922,0.276435015,0.833528547
3.285708023,2.315078138,1.441601964
1.982787882,0.776171127,2.167946361
0.971961815,-0.802481875,1.628787157
0.339951792,-1.625260322,1.762327709
2.875192571,0.964366166,1.608747057
2.188424678,0.348272564,1.929625792
